painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,yPos,gridX,gridY,img
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",2,15,20,painting270.png
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",1,16,20,painting271.png
17,https://www.twoinchbrush.com/images/painting272.png,Shades of Grey,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0,"['Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#021E44', '#FFFFFF', '#221B15']",2,17,20,painting272.png
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",1,18,20,painting273.png
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",2,19,20,painting274.png
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",3,20,20,painting275.png
21,https://www.twoinchbrush.com/images/painting276.png,Reflections,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",3,1,19,painting276.png
22,https://www.twoinchbrush.com/images/painting277.png,Black and White Seascape,2,9,12,https://www.youtube.com/embed/PMDyPrE0puo,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",4,2,19,painting277.png
23,https://www.twoinchbrush.com/images/painting278.png,Lazy River,2,10,12,https://www.youtube.com/embed/BW2wKKFvH1g,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",5,3,19,painting278.png
24,https://www.twoinchbrush.com/images/painting279.png,Black Waterfall,2,11,12,https://www.youtube.com/embed/GzSqjyQUPZQ,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",6,4,19,painting279.png
25,https://www.twoinchbrush.com/images/painting280.png,Mountain Waterfall,2,12,12,https://www.youtube.com/embed/9jIt95PCFAA,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",7,5,19,painting280.png
26,https://www.twoinchbrush.com/images/painting281.png,Final Grace,2,13,12,https://www.youtube.com/embed/miJ19Kz_i3Y,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",8,6,19,painting281.png
27,https://www.twoinchbrush.com/images/painting256.png,Mountain Retreat,3,1,12,https://www.youtube.com/embed/hoimk4s8JoQ,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",9,7,19,painting256.png
28,https://www.twoinchbrush.com/images/painting257.png,Blue Moon,3,2,12,https://www.youtube.com/embed/loit61vLUMc,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",10,8,19,painting257.png
29,https://www.twoinchbrush.com/images/painting258.png,Bubbling Stream,3,3,12,https://www.youtube.com/embed/fuFalEXVN0k,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",11,9,19,painting258.png
30,https://www.twoinchbrush.com/images/painting259.png,Winter Night,3,4,7,https://www.youtube.com/embed/8ysFkNYwhAE,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Liquid Black', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#FFEC00', '#000000', '#102E3C', '#FFFFFF', '#221B15']",1,10,19,painting259.png
31,https://www.twoinchbrush.com/images/painting260.png,Distant Hills,3,5,7,https://www.youtube.com/embed/8Zge88tVwjE,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#8A3324', '#FFEC00', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",2,11,19,painting260.png
32,https://www.twoinchbrush.com/images/painting261.png,Covered Bridge,3,6,10,https://www.youtube.com/embed/OHSm8kLE7js,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#000000', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",1,12,19,painting261.png
33,https://www.twoinchbrush.com/images/painting262.png,Quiet Inlet,3,7,10,https://www.youtube.com/embed/9N5IWKzYIyU,"['Alizarin Crimson', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",2,13,19,painting262.png
34,https://www.twoinchbrush.com/images/painting263.png,Night Light,3,8,9,https://www.youtube.com/embed/l141Y0x8om0,"['Alizarin Crimson', 'Black Gesso', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#8A3324', '#FFEC00', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",2,14,19,painting263.png
35,https://www.twoinchbrush.com/images/painting264.png,The Old Mill,3,9,10,https://www.youtube.com/embed/OFKFUJ9eDNs,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",3,15,19,painting264.png
36,https://www.twoinchbrush.com/images/painting265.png,Campfire,3,10,8,https://www.youtube.com/embed/L5bXkI0-pEg,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#221B15', '#C79B00']",10,16,19,painting265.png
37,https://www.twoinchbrush.com/images/painting266.png,Rustic Barn,3,11,12,https://www.youtube.com/embed/WJJwrnFhUUg,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",12,17,19,painting266.png
38,https://www.twoinchbrush.com/images/painting267.png,Hidden Lake,3,12,10,https://www.youtube.com/embed/P_DaqkFbnac,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",4,18,19,painting267.png
39,https://www.twoinchbrush.com/images/painting268.png,Peaceful Waters,3,13,9,https://www.youtube.com/embed/Z0vtjRLqXcQ,"['Alizarin Crimson', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",3,19,19,painting268.png
40,https://www.twoinchbrush.com/images/painting243.png,Purple Splendor,4,1,4,https://www.youtube.com/embed/hP4GfMgsNVE,"['Alizarin Crimson', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#0C0040', '#FFFFFF', '#221B15']",3,20,19,painting243.png
41,https://www.twoinchbrush.com/images/painting244.png,Tranquil Valley,4,2,10,https://www.youtube.com/embed/PbchoOWWCZs,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",5,1,18,painting244.png
42,https://www.twoinchbrush.com/images/painting245.png,Majestic Mountains,4,3,12,https://www.youtube.com/embed/NcVeRlPu_5w,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",13,2,18,painting245.png
43,https://www.twoinchbrush.com/images/painting246.png,Winter Sawscape,4,4,7,https://www.youtube.com/embed/lmKAwKrONmE,"['Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black', 'Prussian Blue', 'Titanium White']","['#000000', '#DB0000', '#8A3324', '#FFEC00', '#000000', '#021E44', '#FFFFFF']",3,3,18,painting246.png
44,https://www.twoinchbrush.com/images/painting247.png,Evening Seascape,4,5,10,https://www.youtube.com/embed/y5k4GXw_-yI,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#FFFFFF', '#221B15']",6,4,18,painting247.png
45,https://www.twoinchbrush.com/images/painting248.png,Warm Summer Day,4,6,11,https://www.youtube.com/embed/GBN9AIw3Ao4,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",4,5,18,painting248.png
46,https://www.twoinchbrush.com/images/painting249.png,Cabin in the Woods,4,7,11,https://www.youtube.com/embed/81QKellPA70,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",5,6,18,painting249.png
47,https://www.twoinchbrush.com/images/painting250.png,Wetlands,4,8,10,https://www.youtube.com/embed/2FpVyGanPwM,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",7,7,18,painting250.png
48,https://www.twoinchbrush.com/images/painting251.png,Cool Waters,4,9,12,https://www.youtube.com/embed/tJRvBcqQd5A,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",14,8,18,painting251.png
49,https://www.twoinchbrush.com/images/painting252.png,Quiet Woods,4,10,11,https://www.youtube.com/embed/wIZX57I4aDs,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",6,9,18,painting252.png
50,https://www.twoinchbrush.com/images/painting253.png,Northwest Majesty,4,11,10,https://www.youtube.com/embed/9DU6bunvD_g,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#000000', '#021E44', '#0A3410', '#FFFFFF', '#221B15']",8,10,18,painting253.png
51,https://www.twoinchbrush.com/images/painting254.png,Autumn Days,4,12,12,https://www.youtube.com/embed/VAdMkf-AAPM,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",15,11,18,painting254.png
52,https://www.twoinchbrush.com/images/painting255.png,Mountain Challenge,4,13,10,https://www.youtube.com/embed/o2cjLA_wgIk,"['Alizarin Crimson', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",9,12,18,painting255.png
53,https://www.twoinchbrush.com/images/painting230.png,Mountain Waterfall,5,1,11,https://www.youtube.com/embed/DqhzxdkdQS0,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",7,13,18,painting230.png
54,https://www.twoinchbrush.com/images/painting231.png,Twilight Meadow,5,2,12,https://www.youtube.com/embed/6evqNlOO7Bw,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",16,14,18,painting231.png
55,https://www.twoinchbrush.com/images/painting232.png,Mountain Blossoms,5,3,5,https://www.youtube.com/embed/UVhhStJAJZc,"['Alizarin Crimson', 'Liquid Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White']","['#4E1500', '#000000', '#0C0040', '#102E3C', '#FFFFFF']",1,15,18,painting232.png
56,https://www.twoinchbrush.com/images/painting233.png,Winter Stillness,5,4,7,https://www.youtube.com/embed/qg9c1SqdRko,"['Alizarin Crimson', 'Burnt Umber', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#8A3324', '#FFB800', '#0C0040', '#0A3410', '#FFFFFF', '#221B15']",4,16,18,painting233.png
57,https://www.twoinchbrush.com/images/painting234.png,Quiet Pond,5,5,10,https://www.youtube.com/embed/aiK9xOIJtV8,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']",10,17,18,painting234.png
58,https://www.twoinchbrush.com/images/painting235.png,Ocean Sunrise,5,6,6,https://www.youtube.com/embed/u0Bz6TNUK1Q,"['Alizarin Crimson', 'Indian Yellow', 'Liquid Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#FFB800', '#000000', '#021E44', '#FFFFFF', '#221B15']",1,18,18,painting235.png
