painting_index,img_src,painting_title,season,episode,num_colors,youtube_src,colors,color_hex,yPos,gridX,gridY
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Alizarin Crimson,#4E1500,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Black Gesso,#000000,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Bright Red,#DB0000,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Cadmium Yellow,#FFEC00,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Phthalo Green,#102E3C,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Prussian Blue,#021E44,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Sap Green,#0A3410,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Titanium White,#FFFFFF,1,3,20
3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,Van Dyke Brown,#221B15,1,3,20
4,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,1,4,3,https://www.youtube.com/embed/0pwoixRikn4,Prussian Blue,#021E44,1,4,20
4,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,1,4,3,https://www.youtube.com/embed/0pwoixRikn4,Titanium White,#FFFFFF,1,4,20
4,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,1,4,3,https://www.youtube.com/embed/0pwoixRikn4,Van Dyke Brown,#221B15,1,4,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Alizarin Crimson,#4E1500,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Bright Red,#DB0000,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Cadmium Yellow,#FFEC00,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Phthalo Green,#102E3C,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Prussian Blue,#021E44,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Sap Green,#0A3410,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Titanium White,#FFFFFF,3,5,20
5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,Van Dyke Brown,#221B15,3,5,20
6,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,Black Gesso,#000000,1,6,20
6,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,Prussian Blue,#021E44,1,6,20
6,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,Titanium White,#FFFFFF,1,6,20
6,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,Van Dyke Brown,#221B15,1,6,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Alizarin Crimson,#4E1500,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Bright Red,#DB0000,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Cadmium Yellow,#FFEC00,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Phthalo Green,#102E3C,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Prussian Blue,#021E44,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Sap Green,#0A3410,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Titanium White,#FFFFFF,4,7,20
7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,Van Dyke Brown,#221B15,4,7,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Alizarin Crimson,#4E1500,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Bright Red,#DB0000,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Cadmium Yellow,#FFEC00,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Phthalo Green,#102E3C,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Prussian Blue,#021E44,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Sap Green,#0A3410,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Titanium White,#FFFFFF,5,8,20
8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,Van Dyke Brown,#221B15,5,8,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Alizarin Crimson,#4E1500,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Bright Red,#DB0000,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Cadmium Yellow,#FFEC00,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Phthalo Green,#102E3C,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Prussian Blue,#021E44,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Sap Green,#0A3410,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Titanium White,#FFFFFF,6,9,20
9,https://www.twoinchbrush.com/images/painting290.png,Seascape,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,Van Dyke Brown,#221B15,6,9,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Alizarin Crimson,#4E1500,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Bright Red,#DB0000,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Cadmium Yellow,#FFEC00,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Phthalo Green,#102E3C,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Prussian Blue,#021E44,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Sap Green,#0A3410,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Titanium White,#FFFFFF,7,10,20
10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,Van Dyke Brown,#221B15,7,10,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Alizarin Crimson,#4E1500,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Bright Red,#DB0000,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Cadmium Yellow,#FFEC00,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Phthalo Green,#102E3C,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Prussian Blue,#021E44,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Sap Green,#0A3410,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Titanium White,#FFFFFF,8,11,20
11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,Van Dyke Brown,#221B15,8,11,20
12,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,Alizarin Crimson,#4E1500,2,12,20
12,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,Prussian Blue,#021E44,2,12,20
12,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,Titanium White,#FFFFFF,2,12,20
12,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,Van Dyke Brown,#221B15,2,12,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Alizarin Crimson,#4E1500,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Bright Red,#DB0000,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Cadmium Yellow,#FFEC00,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Phthalo Green,#102E3C,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Prussian Blue,#021E44,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Sap Green,#0A3410,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Titanium White,#FFFFFF,9,13,20
13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,1,13,8,https://www.youtube.com/embed/IEQWfszfRlA,Van Dyke Brown,#221B15,9,13,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Alizarin Crimson,#4E1500,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Bright Red,#DB0000,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Burnt Umber,#8A3324,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Cadmium Yellow,#FFEC00,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Indian Yellow,#FFB800,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Phthalo Blue,#0C0040,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Phthalo Green,#102E3C,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Prussian Blue,#021E44,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Sap Green,#0A3410,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Titanium White,#FFFFFF,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Van Dyke Brown,#221B15,1,14,20
14,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,Yellow Ochre,#C79B00,1,14,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Alizarin Crimson,#4E1500,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Bright Red,#DB0000,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Burnt Umber,#8A3324,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Cadmium Yellow,#FFEC00,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Indian Yellow,#FFB800,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Phthalo Blue,#0C0040,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Phthalo Green,#102E3C,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Prussian Blue,#021E44,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Sap Green,#0A3410,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Titanium White,#FFFFFF,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Van Dyke Brown,#221B15,2,15,20
15,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,Yellow Ochre,#C79B00,2,15,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Alizarin Crimson,#4E1500,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Black Gesso,#000000,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Bright Red,#DB0000,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Burnt Umber,#8A3324,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Cadmium Yellow,#FFEC00,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Indian Yellow,#FFB800,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Phthalo Blue,#0C0040,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Phthalo Green,#102E3C,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Prussian Blue,#021E44,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Sap Green,#0A3410,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Titanium White,#FFFFFF,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Van Dyke Brown,#221B15,1,16,20
16,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,Yellow Ochre,#C79B00,1,16,20
17,https://www.twoinchbrush.com/images/painting272.png,Shades of Grey,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0,Prussian Blue,#021E44,2,17,20
17,https://www.twoinchbrush.com/images/painting272.png,Shades of Grey,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0,Titanium White,#FFFFFF,2,17,20
17,https://www.twoinchbrush.com/images/painting272.png,Shades of Grey,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0,Van Dyke Brown,#221B15,2,17,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Alizarin Crimson,#4E1500,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Bright Red,#DB0000,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Burnt Umber,#8A3324,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Cadmium Yellow,#FFEC00,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Phthalo Blue,#0C0040,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Phthalo Green,#102E3C,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Prussian Blue,#021E44,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Sap Green,#0A3410,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Titanium White,#FFFFFF,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Van Dyke Brown,#221B15,1,18,20
18,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,Yellow Ochre,#C79B00,1,18,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Alizarin Crimson,#4E1500,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Bright Red,#DB0000,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Burnt Umber,#8A3324,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Cadmium Yellow,#FFEC00,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Phthalo Blue,#0C0040,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Phthalo Green,#102E3C,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Prussian Blue,#021E44,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Sap Green,#0A3410,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Titanium White,#FFFFFF,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Van Dyke Brown,#221B15,2,19,20
19,https://www.twoinchbrush.com/images/painting274.png,Black River,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,Yellow Ochre,#C79B00,2,19,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Alizarin Crimson,#4E1500,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Bright Red,#DB0000,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Burnt Umber,#8A3324,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Cadmium Yellow,#FFEC00,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Phthalo Blue,#0C0040,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Phthalo Green,#102E3C,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Prussian Blue,#021E44,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Sap Green,#0A3410,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Titanium White,#FFFFFF,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Van Dyke Brown,#221B15,3,20,20
20,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,Yellow Ochre,#C79B00,3,20,20
21,https://www.twoinchbrush.com/images/painting276.png,Reflections,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,Alizarin Crimson,#4E1500,3,1,19
21,https://www.twoinchbrush.com/images/painting276.png,Reflections,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,Bright Red,#DB0000,3,1,19
21,https://www.twoinchbrush.com/images/painting276.png,Reflections,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,Burnt Umber,#8A3324,3,1,19
21,https://www.twoinchbrush.com/images/painting276.png,Reflections,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,Cadmium Yellow,#FFEC00,3,1,19
